"group","class","combined","subset","num_in.predefined","num_out.predefined","mean_within.predefined","mean_between.predefined","p_value.predefined","greater.predefined","significant.predefined","diff.predefined","subset_number.predefined","num_in.cur_m1_edge","num_out.cur_m1_edge","mean_within.cur_m1_edge","mean_between.cur_m1_edge","p_value.cur_m1_edge","greater.cur_m1_edge","significant.cur_m1_edge","diff.cur_m1_edge","subset_number.cur_m1_edge","num_in.cur_m2_edge","num_out.cur_m2_edge","mean_within.cur_m2_edge","mean_between.cur_m2_edge","p_value.cur_m2_edge","greater.cur_m2_edge","significant.cur_m2_edge","diff.cur_m2_edge","subset_number.cur_m2_edge","num_in.pre_m1_edge","num_out.pre_m1_edge","mean_within.pre_m1_edge","mean_between.pre_m1_edge","p_value.pre_m1_edge","greater.pre_m1_edge","significant.pre_m1_edge","diff.pre_m1_edge","subset_number.pre_m1_edge","num_in.pre_m2_edge","num_out.pre_m2_edge","mean_within.pre_m2_edge","mean_between.pre_m2_edge","p_value.pre_m2_edge","greater.pre_m2_edge","significant.pre_m2_edge","diff.pre_m2_edge","subset_number.pre_m2_edge","num_in.enwiki_dbow","num_out.enwiki_dbow","mean_within.enwiki_dbow","mean_between.enwiki_dbow","p_value.enwiki_dbow","greater.enwiki_dbow","significant.enwiki_dbow","diff.enwiki_dbow","subset_number.enwiki_dbow","num_in.jaccard","num_out.jaccard","mean_within.jaccard","mean_between.jaccard","p_value.jaccard","greater.jaccard","significant.jaccard","diff.jaccard","subset_number.jaccard","num_in.cosine","num_out.cosine","mean_within.cosine","mean_between.cosine","p_value.cosine","greater.cosine","significant.cosine","diff.cosine","subset_number.cosine"
"Cellular and Biochemical","Biochemical","0","CPR","68","2331","0.071","0.007","0","within","yes","0.42471682700673","31","68","2331","0.083","0.007","0","within","yes","0.50454558924055","31","68","2331","0.19","0.07","0","within","yes","0.785908640074653","31","68","2331","0.008","0.006","0.004","within","yes","0.0212636191562052","31","68","2331","0.02","0.026","0","between","yes","-0.0537271946373216","31","68","2331","0.658","0.555","0","within","yes","0.843788443970304","31","68","2331","0.084","0.012","0","within","yes","0.832745290710366","31","68","2331","0.117","0.025","0","within","yes","0.705137226598632","31"
"Cellular and Biochemical","Biochemical","0","PRA","124","2275","0.16","0.013","0","within","yes","0.975521462031082","30","124","2275","0.064","0.007","0","within","yes","0.378409191930413","30","124","2275","0.281","0.078","0","within","yes","1.32949544945962","30","124","2275","0.011","0.006","0","within","yes","0.0531590478905131","30","124","2275","0.045","0.033","0","within","yes","0.107454389274643","30","124","2275","0.646","0.538","0","within","yes","0.884749048046533","30","124","2275","0.156","0.017","0","within","yes","1.60766104734362","30","124","2275","0.276","0.033","0","within","yes","1.862482022429","30"
"Cellular and Biochemical","Biochemical","1","all","192","2212","0.08","0.011","0","within","yes","0.457897829116631","0","192","2212","0.041","0.007","0","within","yes","0.225717763607615","0","192","2212","0.17","0.076","0","within","yes","0.615628434725145","0","192","2212","0.007","0.006","0","within","yes","0.0106318095781026","0","192","2212","0.029","0.031","0","between","yes","-0.0179090648791072","0","192","2212","0.63","0.542","0","within","yes","0.720906631741619","0","192","2212","0.086","0.015","0","within","yes","0.821179383894944","0","192","2212","0.149","0.03","0","within","yes","0.912079673535187","0"
"Cellular and Biochemical","Cellular","0","CUL","74","2325","0.037","0.025","0.012","within","yes","0.0796344050637618","29","74","2325","0.07","0.034","0","within","yes","0.238995279113945","29","74","2325","0.199","0.095","0","within","yes","0.681120821398033","29","74","2325","0.044","0.021","0","within","yes","0.24453162029636","29","74","2325","0.127","0.068","0","within","yes","0.528317413933663","29","74","2325","0.594","0.558","0","within","yes","0.294916349348844","29","74","2325","0.049","0.02","0","within","yes","0.335411297647231","29","74","2325","0.081","0.042","0","within","yes","0.298916867797246","29"
"Cellular and Biochemical","Cellular","0","RTH","53","2346","0.12","0.01","0","within","yes","0.729982046417817","27","53","2346","0.117","0.017","0","within","yes","0.663875775316514","27","53","2346","0.264","0.1","0","within","yes","1.07407514143536","27","53","2346","0.208","0.035","0","within","yes","1.83930305701175","27","53","2346","0.361","0.089","0","within","yes","2.43563282355858","27","53","2346","0.698","0.557","0","within","yes","1.15508903494964","27","53","2346","0.21","0.021","0","within","yes","2.18595638811471","27","53","2346","0.385","0.044","0","within","yes","2.61360645945797","27"
"Cellular and Biochemical","Cellular","0","STT","77","2322","0.034","0.01","0","within","yes","0.159268810127524","26","77","2322","0.066","0.041","0","within","yes","0.165968943829128","26","77","2322","0.146","0.115","0","within","yes","0.203026398685952","26","77","2322","0.065","0.026","0","within","yes","0.414640573546002","26","77","2322","0.137","0.081","0","within","yes","0.501453816615002","26","77","2322","0.637","0.559","0","within","yes","0.638985423589162","26","77","2322","0.078","0.019","0","within","yes","0.682388502109883","26","77","2322","0.145","0.039","0","within","yes","0.812440717602771","26"
"Cellular and Biochemical","Cellular","0","TCM","97","2302","0.034","0.019","0","within","yes","0.0995430063297023","28","97","2302","0.102","0.05","0","within","yes","0.345215403164587","28","97","2302","0.164","0.113","0","within","yes","0.334011172031728","28","97","2302","0.069","0.032","0","within","yes","0.393376954389797","28","97","2302","0.128","0.081","0","within","yes","0.42086302465902","28","97","2302","0.604","0.546","0","within","yes","0.475143007284249","28","97","2302","0.07","0.024","0","within","yes","0.532031713509401","28","97","2302","0.143","0.052","0","within","yes","0.697472691526908","28"
"Cellular and Biochemical","Cellular","1","all","301","2132","0.02","0.017","0","within","yes","0.0199086012659405","0","301","2132","0.052","0.038","0","within","yes","0.0929426085443119","0","301","2132","0.131","0.108","0","within","yes","0.150632489347642","0","301","2132","0.052","0.026","0","within","yes","0.276427049030668","0","301","2132","0.118","0.077","0","within","yes","0.367135830021698","0","301","2132","0.593","0.552","0","within","yes","0.335876953425072","0","301","2132","0.049","0.02","0","within","yes","0.335411297647231","0","301","2132","0.096","0.041","0","within","yes","0.421549428944834","0"
"Conditional","Chemical","0","CHS","190","2209","0.287","0.033","0","within","yes","1.68559490718296","39","190","2209","0.08","0.02","0","within","yes","0.398325465189908","39","190","2209","0.194","0.087","0","within","yes","0.700768537399899","39","190","2209","0.024","0.01","0","within","yes","0.148845334093437","39","190","2209","0.067","0.039","0","within","yes","0.250726908307501","39","190","2209","0.671","0.525","0","within","yes","1.19604963902587","39","190","2209","0.158","0.03","0","within","yes","1.48043607237398","39","190","2209","0.367","0.067","0","within","yes","2.29936052151728","39"
"Conditional","Chemical","0","HRM","152","2247","0.172","0.025","0","within","yes","0.975521462031082","38","152","2247","0.094","0.022","0","within","yes","0.47799055822789","38","152","2247","0.319","0.074","0","within","yes","1.60456347348575","38","152","2247","0.036","0.014","0","within","yes","0.233899810718258","38","152","2247","0.11","0.045","0","within","yes","0.582044608570985","38","152","2247","0.679","0.536","0","within","yes","1.17147327658013","38","152","2247","0.177","0.034","0","within","yes","1.65392467460531","38","152","2247","0.355","0.074","0","within","yes","2.15373435515452","38"
